description,name,type_id
"HUMMUS, SABRA CLASSIC",hummus,16
"MILK, 2% (WAVE 22E)",milk,1
"Beef, Eye of Round roast/steak, lean only, raw, animal 5, select",beef,13
"Proximates, Beef, Eye of Round roast/steak, lean only, raw, animal 5, select",proximates,13
"Se - Beef,  Eye of Round roast/steak, select, raw, comp13, lean",se - beef,13
"Minerals - Beef,  Eye of Round roast/steak, select, raw, comp13, lean",minerals - beef,13
"B12, B6, B3, B2 - Beef, Eye of Round roast/steak, select, raw, comp5, lean",b12,13
"FA - Beef, Eye of Round roast/steak, select, raw, comp5, lean",fa - beef,13
"Choles, FA - Beef, Eye of Round roast/steak, select, raw, comp5, lean",choles,13
"TOMATOES, GRAPE",tomatoes,11
"SALT, MORTON, IODIZED",salt,2
Salt; iodized,salt; iodized,2
"BEANS, SNAP, CANNED, DRAINED, DEL MONTE",beans,11
Beans snap canned drained,beans snap canned drained,11
"Broccoli, raw (IN1,NY1) - CY0906E",broccoli,11
"Vitamin C, Broccoli, raw (IN1,NY1) - NFY0904J9",vitamin c,11
"HOT DOGS, BEEF, BALL PARK ANGUS",hot dogs,7
Hot dogs beef,hot dogs beef,7
"Frankfurter, beef, unheated",frankfurter,7
"ALMONDS, DRY ROASTED, SALTED, BLUE DIAMOND",almonds,12
Almonds dry roasted salted,almonds dry roasted salted,12
"Nuts, almonds, dry roasted, with salt added",nuts,12
"CHEESE, RICOTTA, WHOLE MILK, GALBANI",cheese,1
Ricotta cheese whole milk - NFY1216UC,ricotta cheese whole milk,1
"Ricotta cheese, whole milk - NFY1216W7",ricotta cheese,1
"KALE, FRESH, UNPREPARED",kale,11
"EGG, LIQUID WHOLE, Producer C, LOT 3",egg,1
"LIQUID WHOLE EGG (PLAIN, NO SALT OR SUGAR)",liquid whole egg (plain,1
Whole eggs,whole eggs,1
 Whole eggs, whole eggs,1
LIQUID EGG WHITE (WITHOUT WHIPPING AGENTS),liquid egg white (without whipping agents),1
 Egg whites, egg whites,1
Egg whites,egg whites,1
DRIED STABILIZED EGG WHITE,dried stabilized egg white,1
Egg whites dried,egg whites dried,1
"SALSA, TOSTITOS CHUNKY - MEDIUM",salsa,6
"Minerals, Salsa, TOSTITOS CHUNKY, MEDIUM (FL,MO) - NFY090KVS",minerals,6
"Sugars, Salsa, TOSTITOS CHUNKY, MEDIUM (FL,MO) - NFY090KVV",sugars,6
"TDF, Salsa, TOSTITOS CHUNKY, MEDIUM (FL,MO) - NFY090KVU",tdf,6
"Vitamin K, Salsa, TOSTITOS CHUNKY, MEDIUM (IN,NY) - NFY090KUA",vitamin k,6
"Niacin, Salsa, TOSTITOS CHUNKY, MEDIUM (IN,NY) - NFY090KU0",niacin,6
"Pantothenic Acid, Salsa, TOSTITOS CHUNKY, MEDIUM (IN,NY) - NFY090KU5",pantothenic acid,6
